Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.659984827041626,0.6768666505813599,0.6820365190505981,1116.1394,4069.8342,327.77075
Definition - Reflection2,0.6464199423789978,0.6689255237579346,0.656294047832489,1081.041,3993.1611,309.1994
Definition - Non-Context,0.7128327488899231,0.7338160276412964,0.7265834212303162,1192.2383,4339.332,339.10056
Definition - Dark Humor,0.7523493766784668,0.7710535526275635,0.7762632966041565,1220.9006,4488.756,345.74478
Reflection1 - Reflection2,0.6906376481056213,0.7075645327568054,0.7092631459236145,1155.1605,4237.766,337.2094
Reflection1 - Non-Context,0.691618025302887,0.7119086980819702,0.701906144618988,1156.9283,4223.6885,330.57812
Reflection1 - Dark Humor,0.6506544947624207,0.6709219217300415,0.6812484264373779,1056.0293,3918.7295,306.19928
Reflection2 - Non-Context,0.7690419554710388,0.7839730381965637,0.7679564356803894,1272.1343,4617.789,354.57596
Reflection2 - Dark Humor,0.6170684099197388,0.6364427208900452,0.6415835022926331,990.37964,3690.6084,282.70236
Non-Context - Dark Humor,0.6690379977226257,0.6920104622840881,0.6781184077262878,1073.9083,3975.0989,295.99524
