Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.7124346494674683,0.732062041759491,0.7566371560096741,871.9536,3207.6948,276.1988
Definition - Reflection2,0.7580814957618713,0.7679007649421692,0.790200412273407,934.1387,3422.9968,274.9359
Definition - Non-Context,0.767288327217102,0.7783625721931458,0.7840014100074768,905.4207,3307.489,258.4104
Definition - Dark Humor,0.7904796600341797,0.8051889538764954,0.807515561580658,979.4762,3595.1553,283.33023
Reflection1 - Reflection2,0.8168533444404602,0.829998791217804,0.8423659205436707,972.8136,3580.1675,292.6703
Reflection1 - Non-Context,0.8146082758903503,0.8365371823310852,0.8409119248390198,929.03186,3439.7446,276.77533
Reflection1 - Dark Humor,0.7595594525337219,0.7719697952270508,0.8063921332359314,909.6094,3335.375,282.53485
Reflection2 - Non-Context,0.7980474829673767,0.8081477284431458,0.8157359957695007,916.3422,3380.5544,255.90955
Reflection2 - Dark Humor,0.7772718071937561,0.7860803604125977,0.8076832890510559,937.15857,3455.1553,269.72842
Non-Context - Dark Humor,0.7344122529029846,0.7453627586364746,0.7642415761947632,847.9623,3123.081,241.77716
