Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.8196235299110413,0.8246911764144897,0.8531425595283508,819.184,3028.9382,272.07684
Definition - Reflection2,0.8364915251731873,0.8418178558349609,0.8687718510627747,836.4834,3095.2302,272.26974
Definition - Non-Context,0.8555295467376709,0.8598482608795166,0.8851723074913025,835.11255,3093.3335,268.73862
Definition - Dark Humor,0.870741605758667,0.8783226013183594,0.890699565410614,914.3203,3389.2676,302.09863
Reflection1 - Reflection2,0.8920465111732483,0.8984597325325012,0.9085729718208313,832.17773,3083.9614,257.08298
Reflection1 - Non-Context,0.9019359350204468,0.9072930216789246,0.9203281402587891,821.33124,3047.1082,252.26952
Reflection1 - Dark Humor,0.8362388014793396,0.8414682149887085,0.8713201880455017,819.1665,3031.2734,266.81805
Reflection2 - Non-Context,0.895132839679718,0.9017367959022522,0.91216641664505,815.56555,3031.768,245.70831
Reflection2 - Dark Humor,0.8205905556678772,0.8290575742721558,0.8528298139572144,804.2609,2989.839,256.63947
Non-Context - Dark Humor,0.8430039882659912,0.8506416082382202,0.8753790259361267,806.51843,3001.5095,255.19128
