Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.6694691181182861,0.688634991645813,0.6943636536598206,1081.1444,4001.0713,292.19656
Definition - Reflection2,0.7361961007118225,0.7530664205551147,0.7530996799468994,1167.9956,4270.59,295.41583
Definition - Non-Context,0.6678822040557861,0.6867958903312683,0.6699762344360352,1119.142,4096.6094,286.45154
Definition - Dark Humor,0.6296607255935669,0.6540155410766602,0.6685582399368286,1005.77985,3726.2068,279.7922
Reflection1 - Reflection2,0.7628404498100281,0.7800402045249939,0.7627536058425903,1209.6345,4469.1035,313.736
Reflection1 - Non-Context,0.6117440462112427,0.6276525259017944,0.6225839853286743,1024.5372,3782.379,279.11838
Reflection1 - Dark Humor,0.727713942527771,0.7443145513534546,0.7310632467269897,1161.7961,4284.3438,320.81168
Reflection2 - Non-Context,0.702616810798645,0.720683217048645,0.7090759873390198,1156.0352,4238.9424,296.3304
Reflection2 - Dark Humor,0.6918014883995056,0.7135998010635376,0.7031347155570984,1085.0388,4009.128,287.62512
Non-Context - Dark Humor,0.5901669263839722,0.6111913323402405,0.6028665900230408,977.6338,3611.7249,268.79422
