Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.6697238087654114,0.7233763933181763,0.7314527630805969,867.74036,3253.9866,264.021
Definition - Reflection2,0.7484074831008911,0.760614812374115,0.7718527913093567,904.52576,3296.1177,261.4994
Definition - Non-Context,0.3947571814060211,0.396589070558548,0.3802073001861572,508.54315,1815.3242,130.88774
Definition - Dark Humor,0.5568044781684875,0.5674698948860168,0.5871398448944092,731.44055,2666.7666,228.54921
Reflection1 - Reflection2,0.8107183575630188,0.8456354141235352,0.868576169013977,1063.7152,3881.7185,332.9864
Reflection1 - Non-Context,0.3394780457019806,0.3765038251876831,0.39575034379959106,474.76855,1825.5171,154.16371
Reflection1 - Dark Humor,0.6076741218566895,0.6350070238113403,0.679594874382019,866.6016,3160.9941,299.344
Reflection2 - Non-Context,0.40103429555892944,0.4081096649169922,0.41206592321395874,523.16736,1906.2501,150.6647
Reflection2 - Dark Humor,0.6729590892791748,0.6844449043273926,0.7192999124526978,895.213,3282.238,297.38196
Non-Context - Dark Humor,0.39802074432373047,0.39962038397789,0.4214658737182617,564.36285,2024.2068,177.05547
