Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.8524280190467834,0.8579218983650208,0.8765630125999451,857.9252,3167.8232,254.6995
Definition - Reflection2,0.835868239402771,0.8437482714653015,0.8614861965179443,838.1648,3114.7705,254.5304
Definition - Non-Context,0.5701583623886108,0.5753770470619202,0.6159253716468811,624.634,2297.1353,196.81505
Definition - Dark Humor,0.7742347717285156,0.7899168729782104,0.8088196516036987,916.2108,3390.1387,310.28302
Reflection1 - Reflection2,0.8831822872161865,0.8905060291290283,0.9017153382301331,903.63934,3327.96,271.47278
Reflection1 - Non-Context,0.5404806733131409,0.5420529246330261,0.593450665473938,604.17584,2190.8062,193.23251
Reflection1 - Dark Humor,0.744279682636261,0.7598891258239746,0.781720757484436,898.6946,3301.523,305.57886
Reflection2 - Non-Context,0.5376757979393005,0.544177770614624,0.5888047814369202,598.8301,2198.8877,194.9455
Reflection2 - Dark Humor,0.8160703778266907,0.829226553440094,0.8391678929328918,981.75574,3601.9482,333.55463
Non-Context - Dark Humor,0.5172391533851624,0.5287762880325317,0.5827925205230713,679.8385,2484.0315,250.53647
