Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.5251418352127075,0.5483878254890442,0.5285043120384216,923.9208,3403.5198,257.91263
Definition - Reflection2,0.5614440441131592,0.5818753838539124,0.5849601030349731,968.38916,3516.3127,271.34915
Definition - Non-Context,0.40736374258995056,0.4327683448791504,0.4004812240600586,775.27966,2781.0784,222.7261
Definition - Dark Humor,0.23892030119895935,0.24986174702644348,0.2713279724121094,459.88083,1649.0232,153.48578
Reflection1 - Reflection2,0.6614802479743958,0.6791538000106812,0.68324214220047,1117.1127,4103.64,307.1198
Reflection1 - Non-Context,0.36675208806991577,0.3892236053943634,0.34727713465690613,683.41614,2500.9233,187.1527
Reflection1 - Dark Humor,0.2741537094116211,0.2918088436126709,0.30707240104675293,516.6816,1925.6128,168.32372
Reflection2 - Non-Context,0.35620540380477905,0.3836310803890228,0.3653900921344757,650.7263,2400.115,187.17807
Reflection2 - Dark Humor,0.2198067009449005,0.2288651317358017,0.2644594609737396,406.12067,1470.5073,137.79767
Non-Context - Dark Humor,0.17937776446342468,0.1959562450647354,0.20618632435798645,365.6918,1338.8958,128.80399
