Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.7870844006538391,0.7942801713943481,0.8039084076881409,1042.9438,3822.5737,300.20078
Definition - Reflection2,0.7736758589744568,0.7847684621810913,0.783413827419281,1075.7155,3941.6094,313.9401
Definition - Non-Context,0.7396205067634583,0.7478116154670715,0.7560811638832092,1017.6893,3730.8623,293.66516
Definition - Dark Humor,0.6302970051765442,0.6472496390342712,0.6756339073181152,943.19824,3449.2776,323.50043
Reflection1 - Reflection2,0.8781967163085938,0.8828727602958679,0.8844221830368042,1197.7439,4366.7627,346.55658
Reflection1 - Non-Context,0.6512163877487183,0.6581529378890991,0.684249758720398,878.9523,3233.5034,259.8709
Reflection1 - Dark Humor,0.6587275266647339,0.6743581295013428,0.6896379590034485,966.9349,3538.9658,322.88174
Reflection2 - Non-Context,0.6384616494178772,0.6468045711517334,0.659546971321106,904.2189,3316.42,268.80603
Reflection2 - Dark Humor,0.5843842625617981,0.5971465110778809,0.614281415939331,900.0956,3270.519,308.63132
Non-Context - Dark Humor,0.5951898097991943,0.6079384088516235,0.6613178253173828,907.2218,3307.351,322.04117
