Contexts Compared,Cosine: Cat Last Four,Cosine: Sum Last Four,Cosine: Get 2nd Last,Dot: Cat Last Four,Dot: Sum Last Four,Dot: Get 2nd Last
Definition - Reflection1,0.8211894631385803,0.8278781175613403,0.859081506729126,1004.327,3637.4097,335.9624
Definition - Reflection2,0.806745171546936,0.8136857748031616,0.8465031981468201,1021.53217,3674.3289,345.08618
Definition - Non-Context,0.8344749808311462,0.8435928225517273,0.8746031522750854,1156.832,4162.6006,400.274
Definition - Dark Humor,0.6471825242042542,0.6652774810791016,0.6818811893463135,1045.0393,3775.1982,392.1633
Reflection1 - Reflection2,0.9157660007476807,0.9183745384216309,0.9279888272285461,1047.216,3801.0142,326.6969
Reflection1 - Non-Context,0.73828125,0.7487554550170898,0.7940625548362732,924.3036,3386.3376,313.83704
Reflection1 - Dark Humor,0.6279066205024719,0.6462308168411255,0.6756014823913574,915.66534,3361.1113,335.54617
Reflection2 - Non-Context,0.7105045318603516,0.7228447198867798,0.7622449398040771,920.9663,3359.935,314.04132
Reflection2 - Dark Humor,0.5677238702774048,0.585116982460022,0.6180440783500671,857.16223,3127.7603,319.98077
Non-Context - Dark Humor,0.6254081726074219,0.6416451930999756,0.6739116311073303,1033.7858,3747.9727,391.70087
